"","nazev","typ","subtyp","long","lat","address"
"129","Mgr. Barbora Lichorobiec","Zdravotnictví","Soukromá ordinace",16.627471,49.210815,"Rotalova 1091/38, 614 00 Brno-sever-Husovice, Czechia"
"130","Andrea Brachová","Zdravotnictví","Soukromá ordinace",16.611151,49.191417,"Masarykova 506/37, 602 00 Brno-Brno-střed, Czechia"
"131","Albi Dentes s.r.o.","Zdravotnictví","Soukromá ordinace",16.79079,49.209099,"V Zámku 7, 664 07 Pozořice, Czechia"
"132","MDDr. JANA SAMOHÝLOVÁ","Zdravotnictví","Soukromá ordinace",16.598425,49.198724,"4, Obilní trh 310, 602 00 Brno-střed, Czechia"
"133","Dental Estetik s.r.o.","Zdravotnictví","Soukromá ordinace",16.534918,49.3104,"Blanenská 982/15, 664 34 Kuřim, Czechia"
"134","MUDr. Karolína Czeczotková","Zdravotnictví","Soukromá ordinace",16.388286,49.182951,"Zámecká 49, 665 01 Rosice-Rosice u Brna, Czechia"
"135","TK Medical s.r.o.","Zdravotnictví","Soukromá ordinace",16.627194,49.223155,"Halasovo nám. 597/1, 638 00 Brno-sever, Czechia"
"136","Interní ambulance Brno s.r.o.","Zdravotnictví","Soukromá ordinace",16.607058,49.222349,"Křižíkova 68a, 612 00 Brno-Brno-Královo Pole, Czechia"
"137","Hodný zubař s.r.o.","Zdravotnictví","Soukromá ordinace",16.678976,49.168497,"Tuřanka 1222/115, 627 00 Brno-Slatina, Czechia"
"138","OFTICAL s.r.o.","Zdravotnictví","Soukromá ordinace",16.610672,49.191934,"Masarykova 31, 602 00 Brno-střed, Czechia"
"139","MUDr. Olga Košková, Ph.D.","Zdravotnictví","Soukromá ordinace",16.607058,49.222349,"Křižíkova 68a, 612 00 Brno-Brno-Královo Pole, Czechia"
"140","Mgr. Ludmila Kremlová","Zdravotnictví","Soukromá ordinace",16.612571,49.132916,"Poděbradova 413, 664 42 Modřice, Czechia"
"141","MUDr. Milan Kučera, s.r.o.","Zdravotnictví","Soukromá ordinace",16.606799,49.196078,"Jakubská 2, 602 00 Brno-střed, Czechia"
"142","Dentárko s.r.o.","Zdravotnictví","Soukromá ordinace",16.581536,49.225775,"97A, Purkyňova 2855, 612 00 Brno-Královo Pole, Czechia"
"143","Mental Health Clinic Brno s.r.o.","Zdravotnictví","Soukromá ordinace",16.6537,49.220196,"Jarní 52, 614 00 Brno-Maloměřice a Obřany, Czechia"
"144","MUDr. Alexandra Ludková s.r.o.","Zdravotnictví","Soukromá ordinace",16.632352,49.20189,"Zábrdovická 11, 615 00 Brno-Židenice, Czechia"
"145","PROTEOR CZ s.r.o.","Zdravotnictví","Soukromá ordinace",16.617883,49.202354,"M. Horákové 899, 613 00 Brno-sever, Czechia"
"146","Městská psychiatrická ordinace s.r.o.","Zdravotnictví","Soukromá ordinace",16.611151,49.191417,"Masarykova 506/37, 602 00 Brno-Brno-střed, Czechia"
"147","Mgr. Barbora Frantová","Zdravotnictví","Soukromá ordinace",16.471023,49.105955,"Pod Lipami 4, 664 46 Silůvky-Prštice u Brna, Czechia"
"148","MUDr. Vendula Valentová, s.r.o.","Zdravotnictví","Soukromá ordinace",16.561635,49.182815,"Zoubkova 519/53, 634 00 Brno-Nový Lískovec, Czechia"
"149","Mgr. Jana Grimová","Zdravotnictví","Soukromá ordinace",16.644736,49.201001,"7, Gajdošova 4392, 615 00 Brno-Židenice, Czechia"
"150","Všeobecný lékař Brno s.r.o.","Zdravotnictví","Soukromá ordinace",16.63314,49.194448,"Kuklenská 2221/31, 615 00 Brno-Židenice, Czechia"
"151","mujzubnilekar s.r.o.","Zdravotnictví","Soukromá ordinace",16.611656,49.203951,"Jeřábkova 1848/5, 602 00 Brno-střed-Černá Pole, Czechia"
"152","Mgr. MARKÉTA MATOUŠKOVÁ","Zdravotnictví","Soukromá ordinace",16.602538,49.200802,"Slovákova 279/11, 602 00 Brno-střed-Veveří, Czechia"
